Date,NIFTY50,USDINR,GOLD_INR,GOLD_USD,NIFTYBEES
2020-01-01,12182.5,71.27580261230469,,,129.4199981689453
2020-01-02,12282.2001953125,71.0250015258789,3.0812811851501465,1524.5,130.13999938964844
2020-01-03,12226.650390625,71.41500091552734,3.0993356704711914,1549.199951171875,129.7100067138672
2020-01-06,11993.0498046875,71.73100280761719,3.121903657913208,1566.199951171875,127.37000274658203
2020-01-07,12052.9501953125,71.78700256347656,3.095574140548706,1571.800048828125,127.76000213623047
2020-01-08,12025.349609375,72.16000366210938,3.1482324600219727,1557.4000244140625,127.55999755859375
2020-01-09,12215.900390625,71.41190338134766,3.167039394378662,1551.699951171875,129.33999633789062
2020-01-10,12256.7998046875,71.19429779052734,3.2836408615112305,1557.5,129.61000061035156
2020-01-13,12329.5498046875,70.9530029296875,3.234743595123291,1548.4000244140625,130.41000366210938
2020-01-14,12362.2998046875,70.71890258789062,3.2422659397125244,1542.4000244140625,131.00999450683594
2020-01-15,12343.2998046875,70.84510040283203,3.2309823036193848,1552.0999755859375,131.00999450683594
2020-01-16,12355.5,70.71800231933594,3.262953519821167,1549.0,130.91000366210938
2020-01-17,12352.349609375,70.94560241699219,3.227220296859741,1558.800048828125,131.19000244140625
2020-01-20,12224.5498046875,71.03469848632812,,,129.77999877929688
2020-01-21,12169.849609375,71.03099822998047,3.136948585510254,1556.4000244140625,129.27000427246094
2020-01-22,12106.900390625,71.16999816894531,3.1143810749053955,1555.300048828125,128.52999877929688
2020-01-23,12180.349609375,71.0781021118164,3.1482324600219727,1564.5999755859375,129.30999755859375
2020-01-24,12248.25,71.32099914550781,3.091813087463379,1571.0999755859375,130.11000061035156
2020-01-27,12119.0,71.32499694824219,3.076767683029175,1576.800048828125,128.72999572753906
2020-01-28,12055.7998046875,71.44000244140625,2.952643871307373,1569.199951171875,128.10000610351562
2020-01-29,12129.5,71.23040008544922,3.039153814315796,1569.800048828125,128.75999450683594
2020-01-30,12035.7998046875,71.30000305175781,2.982734203338623,1583.5,127.73999786376953
2020-01-31,11962.099609375,71.63999938964844,2.994018077850342,1582.9000244140625,127.16999816894531
2020-02-03,11707.900390625,71.49649810791016,3.039153814315796,1577.199951171875,124.41999816894531
2020-02-04,11979.650390625,71.31410217285156,3.095574140548706,1550.4000244140625,126.75
2020-02-05,12089.150390625,71.0999984741211,3.306208848953247,1557.800048828125,127.91000366210938
2020-02-06,12137.9501953125,71.18000030517578,3.2953009605407715,1565.0999755859375,128.94000244140625
2020-02-07,12098.349609375,71.47000122070312,3.3250155448913574,1568.5999755859375,128.19000244140625
2020-02-10,12031.5,71.5155029296875,3.2723565101623535,1574.699951171875,127.91000366210938
2020-02-11,12107.900390625,71.27999877929688,3.249788999557495,1565.5999755859375,128.3000030517578
2020-02-12,12201.2001953125,71.27529907226562,3.3362996578216553,1567.4000244140625,129.19000244140625
2020-02-13,12174.650390625,71.29620361328125,3.2723565101623535,1575.0999755859375,129.3000030517578
