Date,Value,Data_Quality,Source_Date
2020-01-31,1582.9000244140625,OK,2020-01-31
2020-02-28,1564.0999755859375,OK,2020-02-28
2020-03-31,1583.4000244140625,OK,2020-03-31
2020-04-30,1684.199951171875,OK,2020-04-30
2020-05-29,1736.9000244140625,OK,2020-05-29
2020-06-30,1793.0,OK,2020-06-30
2020-07-31,1962.800048828125,OK,2020-07-31
2020-08-31,1967.5999755859375,OK,2020-08-31
2020-09-30,1887.5,OK,2020-09-30
2020-10-30,1877.4000244140625,OK,2020-10-30
2020-11-30,1775.699951171875,OK,2020-11-30
2020-12-31,1893.0999755859375,OK,2020-12-31
2021-01-29,1847.300048828125,OK,2021-01-29
2021-02-26,1728.0999755859375,OK,2021-02-26
2021-03-31,1713.800048828125,OK,2021-03-31
2021-04-30,1767.300048828125,OK,2021-04-30
2021-05-31,1902.5,SHIFTED_3d,2021-05-28
2021-06-30,1770.800048828125,OK,2021-06-30
2021-07-30,1812.5999755859375,OK,2021-07-30
2021-08-31,1815.0,OK,2021-08-31
2021-09-30,1755.300048828125,OK,2021-09-30
2021-10-29,1783.0,OK,2021-10-29
2021-11-30,1773.5999755859375,OK,2021-11-30
2021-12-31,1827.5,OK,2021-12-31
2022-01-31,1795.0,OK,2022-01-31
2022-02-28,1899.4000244140625,OK,2022-02-28
2022-03-31,1949.199951171875,OK,2022-03-31
2022-04-29,1909.300048828125,OK,2022-04-29
2022-05-31,1842.699951171875,OK,2022-05-31
2022-06-30,1804.0999755859375,OK,2022-06-30
2022-07-29,1762.9000244140625,OK,2022-07-29
2022-08-31,1712.800048828125,OK,2022-08-31
2022-09-30,1662.4000244140625,OK,2022-09-30
2022-10-31,1635.9000244140625,OK,2022-10-31
2022-11-30,1746.0,OK,2022-11-30
2022-12-30,1819.699951171875,OK,2022-12-30
2023-01-31,1929.5,OK,2023-01-31
2023-02-28,1828.9000244140625,OK,2023-02-28
2023-03-31,1969.0,OK,2023-03-31
2023-04-28,1990.0999755859375,OK,2023-04-28
2023-05-31,1963.9000244140625,OK,2023-05-31
2023-06-30,1921.0999755859375,OK,2023-06-30
2023-07-31,1970.5,OK,2023-07-31
2023-08-31,1938.199951171875,OK,2023-08-31
2023-09-29,1848.0999755859375,OK,2023-09-29
2023-10-31,1985.199951171875,OK,2023-10-31
2023-11-30,2038.0999755859375,OK,2023-11-30
2023-12-29,2062.39990234375,OK,2023-12-29
2024-01-31,2048.39990234375,OK,2024-01-31
2024-02-29,2045.699951171875,OK,2024-02-29
2024-03-29,2217.39990234375,SHIFTED_1d,2024-03-28
2024-04-30,2291.39990234375,OK,2024-04-30
2024-05-31,2322.89990234375,OK,2024-05-31
2024-06-28,2327.699951171875,OK,2024-06-28
2024-07-31,2426.5,OK,2024-07-31
2024-08-30,2493.800048828125,OK,2024-08-30
2024-09-30,2636.10009765625,OK,2024-09-30
2024-10-31,2738.300048828125,OK,2024-10-31
2024-11-29,2657.0,OK,2024-11-29
2024-12-31,2629.199951171875,OK,2024-12-31
2025-01-31,2812.5,OK,2025-01-31
2025-02-28,2836.800048828125,OK,2025-02-28
2025-03-31,3122.800048828125,OK,2025-03-31
2025-04-30,3305.0,OK,2025-04-30
2025-05-30,3288.89990234375,OK,2025-05-30
2025-06-30,3294.39990234375,OK,2025-06-30
2025-07-31,3293.199951171875,OK,2025-07-31
2025-08-29,3473.699951171875,OK,2025-08-29
2025-09-30,3840.800048828125,OK,2025-09-30
2025-10-31,3982.199951171875,OK,2025-10-31
2025-11-28,4218.2998046875,OK,2025-11-28
2025-12-31,4325.60009765625,OK,2025-12-31
2026-01-30,4713.89990234375,OK,2026-01-30
2026-02-27,5230.5,OK,2026-02-27
2026-03-31,4647.60009765625,OK,2026-03-31
2026-04-30,4545.2001953125,SHIFTED_1d,2026-04-29
