Date,Value,Data_Quality,Source_Date
2020-01-31,127.16999816894531,OK,2020-01-31
2020-02-28,119.29000091552734,OK,2020-02-28
2020-03-31,91.94000244140625,OK,2020-03-31
2020-04-30,104.18000030517578,OK,2020-04-30
2020-05-29,101.37999725341797,OK,2020-05-29
2020-06-30,109.5199966430664,OK,2020-06-30
2020-07-31,118.0199966430664,OK,2020-07-31
2020-08-31,121.02999877929688,OK,2020-08-31
2020-09-30,119.93000030517578,OK,2020-09-30
2020-10-30,124.56999969482422,OK,2020-10-30
2020-11-30,138.3800048828125,SHIFTED_3d,2020-11-27
2020-12-31,149.07000732421875,OK,2020-12-31
2021-01-29,146.10000610351562,OK,2021-01-29
2021-02-26,156.14999389648438,OK,2021-02-26
2021-03-31,157.16000366210938,OK,2021-03-31
2021-04-30,157.0,OK,2021-04-30
2021-05-31,166.7899932861328,OK,2021-05-31
2021-06-30,169.1300048828125,OK,2021-06-30
2021-07-30,169.69000244140625,OK,2021-07-30
2021-08-31,184.5500030517578,OK,2021-08-31
2021-09-30,190.11000061035156,OK,2021-09-30
2021-10-29,191.16000366210938,OK,2021-10-29
2021-11-30,183.6999969482422,OK,2021-11-30
2021-12-31,187.7899932861328,OK,2021-12-31
2022-01-31,187.6300048828125,OK,2022-01-31
2022-02-28,181.83999633789062,OK,2022-02-28
2022-03-31,188.8699951171875,OK,2022-03-31
2022-04-29,185.42999267578125,OK,2022-04-29
2022-05-31,179.8699951171875,OK,2022-05-31
2022-06-30,171.60000610351562,OK,2022-06-30
2022-07-29,186.5399932861328,OK,2022-07-29
2022-08-31,193.9199981689453,SHIFTED_1d,2022-08-30
2022-09-30,186.8300018310547,OK,2022-09-30
2022-10-31,196.27000427246094,OK,2022-10-31
2022-11-30,204.6999969482422,OK,2022-11-30
2022-12-30,198.0399932861328,OK,2022-12-30
2023-01-31,193.44000244140625,OK,2023-01-31
2023-02-28,189.6999969482422,OK,2023-02-28
2023-03-31,189.86000061035156,OK,2023-03-31
2023-04-28,197.2899932861328,OK,2023-04-28
2023-05-31,203.66000366210938,OK,2023-05-31
2023-06-30,210.61000061035156,OK,2023-06-30
2023-07-31,217.5800018310547,OK,2023-07-31
2023-08-31,212.77000427246094,OK,2023-08-31
2023-09-29,216.75,OK,2023-09-29
2023-10-31,210.97999572753906,OK,2023-10-31
2023-11-30,222.1300048828125,OK,2023-11-30
2023-12-29,239.64999389648438,OK,2023-12-29
2024-01-31,240.25999450683594,OK,2024-01-31
2024-02-29,243.25,OK,2024-02-29
2024-03-29,246.9600067138672,SHIFTED_1d,2024-03-28
2024-04-30,250.05999755859375,OK,2024-04-30
2024-05-31,251.14999389648438,OK,2024-05-31
2024-06-28,267.4800109863281,OK,2024-06-28
2024-07-31,277.75,OK,2024-07-31
2024-08-30,281.0799865722656,OK,2024-08-30
2024-09-30,288.3800048828125,OK,2024-09-30
2024-10-31,270.6400146484375,OK,2024-10-31
2024-11-29,269.8800048828125,OK,2024-11-29
2024-12-31,264.4700012207031,OK,2024-12-31
2025-01-31,263.0,OK,2025-01-31
2025-02-28,248.4499969482422,OK,2025-02-28
2025-03-31,263.2099914550781,SHIFTED_3d,2025-03-28
2025-04-30,271.989990234375,OK,2025-04-30
2025-05-30,277.9700012207031,OK,2025-05-30
2025-06-30,286.510009765625,OK,2025-06-30
2025-07-31,279.260009765625,OK,2025-07-31
2025-08-29,276.05999755859375,OK,2025-08-29
2025-09-30,277.5199890136719,OK,2025-09-30
2025-10-31,291.0799865722656,OK,2025-10-31
2025-11-28,296.489990234375,OK,2025-11-28
2025-12-31,295.30999755859375,OK,2025-12-31
2026-01-30,286.7300109863281,OK,2026-01-30
2026-02-27,285.2900085449219,OK,2026-02-27
2026-03-31,253.44000244140625,SHIFTED_1d,2026-03-30
2026-04-30,273.1300048828125,SHIFTED_1d,2026-04-29
