Date,Value,Data_Quality,Source_Date
2020-01-31,71.63999938964844,OK,2020-01-31
2020-02-28,71.93000030517578,OK,2020-02-28
2020-03-31,75.4000015258789,OK,2020-03-31
2020-04-30,75.25849914550781,OK,2020-04-30
2020-05-29,75.95999908447266,OK,2020-05-29
2020-06-30,75.69999694824219,OK,2020-06-30
2020-07-31,74.98999786376953,OK,2020-07-31
2020-08-31,73.12830352783203,OK,2020-08-31
2020-09-30,73.84500122070312,OK,2020-09-30
2020-10-30,74.26399993896484,OK,2020-10-30
2020-11-30,73.94090270996094,OK,2020-11-30
2020-12-31,73.13400268554688,OK,2020-12-31
2021-01-29,72.93879699707031,OK,2021-01-29
2021-02-26,73.1509017944336,OK,2021-02-26
2021-03-31,73.44529724121094,OK,2021-03-31
2021-04-30,74.10579681396484,OK,2021-04-30
2021-05-31,72.39350128173828,OK,2021-05-31
2021-06-30,74.28759765625,OK,2021-06-30
2021-07-30,74.25199890136719,OK,2021-07-30
2021-08-31,73.41120147705078,OK,2021-08-31
2021-09-30,74.3219985961914,OK,2021-09-30
2021-10-29,74.79720306396484,OK,2021-10-29
2021-11-30,75.05490112304688,OK,2021-11-30
2021-12-31,74.43119812011719,OK,2021-12-31
2022-01-31,75.03900146484375,OK,2022-01-31
2022-02-28,75.06800079345703,OK,2022-02-28
2022-03-31,75.82779693603516,OK,2022-03-31
2022-04-29,76.58899688720703,OK,2022-04-29
2022-05-31,77.5208969116211,OK,2022-05-31
2022-06-30,78.89830017089844,OK,2022-06-30
2022-07-29,79.57150268554688,OK,2022-07-29
2022-08-31,79.68229675292969,OK,2022-08-31
2022-09-30,81.48059844970703,OK,2022-09-30
2022-10-31,82.23919677734375,OK,2022-10-31
2022-11-30,81.63089752197266,OK,2022-11-30
2022-12-30,82.83509826660156,OK,2022-12-30
2023-01-31,81.57990264892578,OK,2023-01-31
2023-02-28,82.6520004272461,OK,2023-02-28
2023-03-31,82.10050201416016,OK,2023-03-31
2023-04-28,81.76509857177734,OK,2023-04-28
2023-05-31,82.68389892578125,OK,2023-05-31
2023-06-30,82.07540130615234,OK,2023-06-30
2023-07-31,82.25279998779297,OK,2023-07-31
2023-08-31,82.70040130615234,OK,2023-08-31
2023-09-29,83.19300079345703,OK,2023-09-29
2023-10-31,83.29650115966797,OK,2023-10-31
2023-11-30,83.3302993774414,OK,2023-11-30
2023-12-29,82.302001953125,OK,2023-12-29
2024-01-31,83.10970306396484,OK,2024-01-31
2024-02-29,82.91190338134766,OK,2024-02-29
2024-03-29,83.39299774169922,OK,2024-03-29
2024-04-30,83.45110321044922,OK,2024-04-30
2024-05-31,83.3208999633789,OK,2024-05-31
2024-06-28,83.45089721679688,OK,2024-06-28
2024-07-31,83.73899841308594,OK,2024-07-31
2024-08-30,83.89510345458984,OK,2024-08-30
2024-09-30,83.71640014648438,OK,2024-09-30
2024-10-31,84.08910369873047,OK,2024-10-31
2024-11-29,84.47160339355469,OK,2024-11-29
2024-12-31,85.7865982055664,OK,2024-12-31
2025-01-31,86.64700317382812,OK,2025-01-31
2025-02-28,87.3270034790039,OK,2025-02-28
2025-03-31,85.53880310058594,OK,2025-03-31
2025-04-30,85.1707992553711,OK,2025-04-30
2025-05-30,85.36129760742188,OK,2025-05-30
2025-06-30,85.4552993774414,OK,2025-06-30
2025-07-31,87.714599609375,OK,2025-07-31
2025-08-29,87.5916976928711,OK,2025-08-29
2025-09-30,88.70449829101562,OK,2025-09-30
2025-10-31,88.6344985961914,OK,2025-10-31
2025-11-28,89.36479949951172,OK,2025-11-28
2025-12-31,89.76940155029297,OK,2025-12-31
2026-01-30,91.78189849853516,OK,2026-01-30
2026-02-27,91.00740051269531,OK,2026-02-27
2026-03-31,94.35590362548828,OK,2026-03-31
2026-04-30,94.64550018310547,SHIFTED_1d,2026-04-29
