Price,Close,High,Low,Open,Volume,ticker,ticker_name,fetch_date
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,,,
2025-05-30,277.9700012207031,279.8900146484375,277.7099914550781,279.8900146484375,3521102,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-02,277.6000061035156,278.3800048828125,275.0,276.0,5733152,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-03,275.7699890136719,278.6000061035156,275.4100036621094,278.0,7575648,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-04,276.4599914550781,276.8900146484375,275.1499938964844,276.5,2785742,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-05,278.04998779296875,279.3399963378906,276.3699951171875,277.8999938964844,7273297,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-06,280.5,280.8500061035156,277.0,278.8999938964844,11945116,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-09,281.3500061035156,282.8900146484375,281.04998779296875,281.04998779296875,4288088,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-10,281.3900146484375,282.79998779296875,281.0,282.20001220703125,4557302,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-11,281.8699951171875,282.79998779296875,280.5,281.75,5246351,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-12,278.95001220703125,282.75,278.42999267578125,282.0,7646410,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-13,277.1000061035156,277.5,274.0799865722656,276.0,6491577,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-16,279.70001220703125,279.9700012207031,276.010009765625,279.3900146484375,5287546,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-17,278.5899963378906,281.489990234375,278.2099914550781,281.489990234375,7113968,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-18,278.239990234375,279.8900146484375,277.3800048828125,279.8900146484375,3200952,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-19,277.9100036621094,279.8900146484375,271.2799987792969,278.5,4330677,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-20,281.5,281.79998779296875,276.489990234375,276.510009765625,11399466,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-23,280.8599853515625,281.5299987792969,278.5,280.8999938964844,8963571,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-24,281.42999267578125,284.239990234375,281.1700134277344,283.8999938964844,10219161,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-25,283.4100036621094,283.7799987792969,281.7099914550781,282.0,3346093,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-26,286.3900146484375,286.5799865722656,282.1099853515625,283.3999938964844,10212702,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-27,287.9599914550781,288.2799987792969,286.44000244140625,287.0,5139824,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
2025-06-30,286.510009765625,289.3900146484375,286.1099853515625,287.79998779296875,7928260,NIFTYBEES.NS,NIFTY_BEES,2026-05-25 14:44:35
