Date,CPI,fetch_date
2024-07-01,157.2212,2026-05-25
2024-08-01,157.111,2026-05-25
2024-09-01,157.8822,2026-05-25
2024-10-01,159.2043,2026-05-25
2024-11-01,159.2043,2026-05-25
2024-12-01,158.3229,2026-05-25
2025-01-01,157.772,2026-05-25
2025-02-01,157.3313,2026-05-25
2025-03-01,157.5517,2026-05-25
