Price,Close,High,Low,Open,Volume,ticker,ticker_name,fetch_date
Ticker,GOLD,GOLD,GOLD,GOLD,GOLD,,,
2025-05-30,19.23958969116211,19.483375678713397,18.908040599297202,19.268844679246477,240000,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-02,20.3024959564209,20.33175094336798,19.161577504636526,19.161577504636526,326500,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-03,19.785673141479492,20.195231846053648,19.629648386481254,20.195231846053648,191500,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-04,19.892934799194336,20.14549782321313,19.746663589041162,19.834426687120935,157900,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-05,20.126970291137695,20.39513636211918,19.756416412960622,19.79542120332373,221900,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-06,20.400012969970703,20.58529085452812,20.058712191030075,20.263493402370298,195700,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-09,20.760812759399414,21.082610144653675,20.64866958368332,20.65354634433492,172500,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-10,20.9753475189209,21.326399951686966,20.84857775822668,20.926589203292522,145000,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-11,21.063108444213867,21.26301286772399,20.799819146925593,21.043605119983763,202900,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-12,20.73155975341797,21.238635033092095,20.692553104240233,20.9168376171334,160800,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-13,21.66769790649414,21.940738882161472,20.478022956684043,20.487774619379962,357700,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-16,21.04360580444336,22.10651283034401,20.986072298050793,21.755460422541393,291300,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-17,20.877832412719727,21.31177118518424,20.770565979997432,20.985098845442025,166400,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-18,20.770565032958984,21.16062409418631,20.72180858027529,20.877831460790443,147800,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-20,20.458518981933594,21.05335736792806,20.370755880395414,20.92658761684428,646500,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-23,20.2244873046875,20.692556000702293,20.029459611317833,20.370758539699665,189100,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-24,20.877832412719727,20.892458977203848,20.08796631160522,20.312248980079538,184400,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-25,21.004602432250977,21.10211534327556,20.57553855597249,20.770566237961216,139200,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-26,21.36540412902832,21.381981769870656,20.819324029291934,21.121618137724994,111400,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-27,20.63404655456543,21.365404542633506,20.62429489153178,21.365404542633506,911900,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-06-30,21.628692626953125,21.849074991070882,20.68280182615537,20.74131180100887,314600,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-07-01,21.91148567199707,22.53070235388588,21.37515719977949,21.628694870627324,245000,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-07-02,22.165019989013672,22.545327367710204,21.492172049664706,22.087008552859906,198900,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-07-03,22.272287368774414,22.330795483420392,21.843223521511913,22.194275929266635,100400,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-07-07,21.96999168395996,22.34834611523748,21.901730051881405,21.94073669878344,130000,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-07-08,21.755460739135742,22.350299136582187,21.726207611352773,22.018750048819197,230000,GOLD,GOLD_INR,2026-05-25 14:44:35
2025-07-09,22.41855812072754,22.511196121992004,21.365402779229775,21.813969942057383,458300,GOLD,GOLD_INR,2026-05-25 14:44:35
